"groupId","artifactId","version","type","classifier"
"org.springframework.boot","org.springframework.boot.gradle.plugin","4.0.5","pom",""
"io.spring.dependency-management","io.spring.dependency-management.gradle.plugin","1.1.7","pom",""
"org.asciidoctor.jvm.convert","org.asciidoctor.jvm.convert.gradle.plugin","4.0.5","pom",""
"biz.aQute.bnd","biz.aQute.bnd.annotation","7.1.0","jar",""
"ch.qos.logback","logback-classic","1.5.32","jar",""
"ch.qos.logback","logback-core","1.5.32","jar",""
"com.beust","jcommander","1.82","jar",""
"com.fasterxml","classmate","1.7.3","jar",""
"com.fasterxml.jackson.core","jackson-annotations","2.21","jar",""
"com.fasterxml.jackson.core","jackson-core","2.21.2","jar",""
"com.fasterxml.jackson.core","jackson-databind","2.21.2","jar",""
"com.fasterxml.jackson.dataformat","jackson-dataformat-yaml","2.21.2","jar",""
"com.fasterxml.jackson.datatype","jackson-datatype-jsr310","2.21.2","jar",""
"com.google.code.findbugs","jsr305","3.0.2","jar",""
"com.google.errorprone","error_prone_annotations","2.38.0","jar",""
"com.jayway.jsonpath","json-path","2.10.0","jar",""
"com.mysema.commons","mysema-commons-lang","0.2.4","jar",""
"com.oracle.database.jdbc","ojdbc11","23.9.0.25.07","jar",""
"com.querydsl","codegen-utils","5.1.0","jar",""
"com.querydsl","querydsl-apt","5.1.0","jar","jakarta"
"com.querydsl","querydsl-codegen","5.1.0","jar",""
"com.querydsl","querydsl-core","5.1.0","jar",""
"com.querydsl","querydsl-jpa","5.1.0","jar","jakarta"
"com.samskivert","jmustache","1.16","jar",""
"com.sun.istack","istack-commons-runtime","4.1.2","jar",""
"com.vaadin.external.google","android-json","0.0.20131108.vaadin1","jar",""
"com.zaxxer","HikariCP","7.0.2","jar",""
"commons-codec","commons-codec","1.17.1","jar",""
"commons-io","commons-io","2.16.1","jar",""
"commons-logging","commons-logging","1.3.5","jar",""
"commons-logging","commons-logging","1.3.6","jar",""
"io.github.classgraph","classgraph","4.8.146","jar",""
"io.jsonwebtoken","jjwt-api","0.13.0","jar",""
"io.jsonwebtoken","jjwt-impl","0.13.0","jar",""
"io.jsonwebtoken","jjwt-jackson","0.13.0","jar",""
"io.micrometer","micrometer-commons","1.16.4","jar",""
"io.micrometer","micrometer-core","1.16.4","jar",""
"io.micrometer","micrometer-jakarta9","1.16.4","jar",""
"io.micrometer","micrometer-observation","1.16.4","jar",""
"io.micrometer","micrometer-observation-test","1.16.4","jar",""
"io.spring.gradle","dependency-management-plugin","1.1.7","jar",""
"io.swagger.core.v3","swagger-annotations-jakarta","2.2.47","jar",""
"io.swagger.core.v3","swagger-core-jakarta","2.2.47","jar",""
"io.swagger.core.v3","swagger-models-jakarta","2.2.47","jar",""
"jakarta.activation","jakarta.activation-api","2.1.4","jar",""
"jakarta.annotation","jakarta.annotation-api","3.0.0","jar",""
"jakarta.inject","jakarta.inject-api","2.0.1","jar",""
"jakarta.persistence","jakarta.persistence-api","3.2.0","jar",""
"jakarta.servlet","jakarta.servlet-api","6.1.0","jar",""
"jakarta.transaction","jakarta.transaction-api","2.0.1","jar",""
"jakarta.validation","jakarta.validation-api","3.1.1","jar",""
"jakarta.xml.bind","jakarta.xml.bind-api","4.0.4","jar",""
"javax.inject","javax.inject","1","jar",""
"net.bytebuddy","byte-buddy","1.17.8","jar",""
"net.bytebuddy","byte-buddy-agent","1.17.8","jar",""
"net.java.dev.jna","jna","5.17.0","jar",""
"net.java.dev.jna","jna-platform","5.17.0","jar",""
"net.minidev","accessors-smart","2.6.0","jar",""
"net.minidev","json-smart","2.6.0","jar",""
"org.antlr","antlr4-runtime","4.13.2","jar",""
"org.antlr","antlr4-runtime","4.7.2","jar",""
"org.apache.commons","commons-collections4","4.4","jar",""
"org.apache.commons","commons-compress","1.27.1","jar",""
"org.apache.commons","commons-lang3","3.16.0","jar",""
"org.apache.commons","commons-lang3","3.19.0","jar",""
"org.apache.httpcomponents.client5","httpclient5","5.5.2","jar",""
"org.apache.httpcomponents.core5","httpcore5","5.3.6","jar",""
"org.apache.httpcomponents.core5","httpcore5-h2","5.3.6","jar",""
"org.apache.logging.log4j","log4j-api","2.25.3","jar",""
"org.apache.logging.log4j","log4j-to-slf4j","2.25.3","jar",""
"org.apache.tomcat","tomcat-annotations-api","11.0.20","jar",""
"org.apache.tomcat.embed","tomcat-embed-core","11.0.20","jar",""
"org.apache.tomcat.embed","tomcat-embed-el","11.0.20","jar",""
"org.apache.tomcat.embed","tomcat-embed-jasper","11.0.20","jar",""
"org.apache.tomcat.embed","tomcat-embed-websocket","11.0.20","jar",""
"org.apiguardian","apiguardian-api","1.1.2","jar",""
"org.asciidoctor","asciidoctor-gradle-base","4.0.5","jar",""
"org.asciidoctor","asciidoctor-gradle-jvm","4.0.5","jar",""
"org.asciidoctor","asciidoctorj","2.5.7","jar",""
"org.asciidoctor","asciidoctorj-api","2.5.7","jar",""
"org.aspectj","aspectjweaver","1.9.25.1","jar",""
"org.assertj","assertj-core","3.27.7","jar",""
"org.awaitility","awaitility","4.3.0","jar",""
"org.eclipse.angus","angus-activation","2.0.3","jar",""
"org.eclipse.jdt","ecj","3.26.0","jar",""
"org.eclipse.jdt","ecj","3.45.0","jar",""
"org.glassfish.jaxb","jaxb-core","4.0.6","jar",""
"org.glassfish.jaxb","jaxb-runtime","4.0.6","jar",""
"org.glassfish.jaxb","txw2","4.0.6","jar",""
"org.hamcrest","hamcrest","3.0","jar",""
"org.hdrhistogram","HdrHistogram","2.2.2","jar",""
"org.hibernate.models","hibernate-models","1.0.1","jar",""
"org.hibernate.orm","hibernate-core","7.2.7.Final","jar",""
"org.hibernate.validator","hibernate-validator","9.0.1.Final","jar",""
"org.jacoco","org.jacoco.agent","0.8.13","jar",""
"org.jacoco","org.jacoco.ant","0.8.13","jar",""
"org.jacoco","org.jacoco.core","0.8.13","jar",""
"org.jacoco","org.jacoco.report","0.8.13","jar",""
"org.jboss.logging","jboss-logging","3.6.3.Final","jar",""
"org.jruby","jruby-complete","9.3.8.0","jar",""
"org.jsoup","jsoup","1.18.3","jar",""
"org.jspecify","jspecify","1.0.0","jar",""
"org.junit.jupiter","junit-jupiter","6.0.3","jar",""
"org.junit.jupiter","junit-jupiter-api","6.0.3","jar",""
"org.junit.jupiter","junit-jupiter-engine","6.0.3","jar",""
"org.junit.jupiter","junit-jupiter-params","6.0.3","jar",""
"org.junit.platform","junit-platform-commons","6.0.3","jar",""
"org.junit.platform","junit-platform-engine","6.0.3","jar",""
"org.junit.platform","junit-platform-launcher","6.0.3","jar",""
"org.latencyutils","LatencyUtils","2.0.3","jar",""
"org.mockito","mockito-core","5.20.0","jar",""
"org.mockito","mockito-junit-jupiter","5.20.0","jar",""
"org.objenesis","objenesis","3.3","jar",""
"org.opentest4j","opentest4j","1.3.0","jar",""
"org.osgi","org.osgi.annotation.bundle","2.0.0","jar",""
"org.osgi","org.osgi.annotation.versioning","1.1.2","jar",""
"org.osgi","org.osgi.resource","1.0.0","jar",""
