"그룹","아티팩트","버전","classifier","타입","파일명"
"biz.aQute.bnd","biz.aQute.bnd.annotation","7.1.0","","jar","biz.aQute.bnd.annotation-7.1.0.jar"
"ch.qos.logback","logback-classic","1.5.34","","jar","logback-classic-1.5.34.jar"
"ch.qos.logback","logback-core","1.5.34","","jar","logback-core-1.5.34.jar"
"ch.qos.logback","logback-parent","1.5.34","","pom","logback-parent-1.5.34.pom"
"com.fasterxml","classmate","1.7.3","","jar","classmate-1.7.3.jar"
"com.fasterxml","oss-parent","68","","pom","oss-parent-68.pom"
"com.fasterxml","oss-parent","74","","pom","oss-parent-74.pom"
"com.fasterxml","oss-parent","75","","pom","oss-parent-75.pom"
"com.fasterxml","oss-parent","76","","pom","oss-parent-76.pom"
"com.fasterxml","oss-parent","79","","pom","oss-parent-79.pom"
"com.fasterxml.jackson","jackson-base","2.21.4","","pom","jackson-base-2.21.4.pom"
"com.fasterxml.jackson","jackson-bom","2.19.1","","pom","jackson-bom-2.19.1.pom"
"com.fasterxml.jackson","jackson-bom","2.21.2","","pom","jackson-bom-2.21.2.pom"
"com.fasterxml.jackson","jackson-bom","2.21.4","","pom","jackson-bom-2.21.4.pom"
"com.fasterxml.jackson","jackson-parent","2.19.2","","pom","jackson-parent-2.19.2.pom"
"com.fasterxml.jackson","jackson-parent","2.21","","pom","jackson-parent-2.21.pom"
"com.fasterxml.jackson.core","jackson-annotations","2.21","","jar","jackson-annotations-2.21.jar"
"com.fasterxml.jackson.core","jackson-core","2.21.4","","jar","jackson-core-2.21.4.jar"
"com.fasterxml.jackson.core","jackson-databind","2.21.4","","jar","jackson-databind-2.21.4.jar"
"com.fasterxml.jackson.dataformat","jackson-dataformats-text","2.21.4","","pom","jackson-dataformats-text-2.21.4.pom"
"com.fasterxml.jackson.dataformat","jackson-dataformat-yaml","2.21.4","","jar","jackson-dataformat-yaml-2.21.4.jar"
"com.fasterxml.jackson.datatype","jackson-datatype-jsr310","2.21.4","","jar","jackson-datatype-jsr310-2.21.4.jar"
"com.fasterxml.jackson.module","jackson-modules-java8","2.21.4","","pom","jackson-modules-java8-2.21.4.pom"
"com.github.ben-manes.caffeine","caffeine","3.2.4","","jar","caffeine-3.2.4.jar"
"com.google.code.findbugs","jsr305","3.0.2","","jar","jsr305-3.0.2.jar"
"com.google.errorprone","error_prone_annotations","2.49.0","","jar","error_prone_annotations-2.49.0.jar"
"com.google.errorprone","error_prone_parent","2.49.0","","pom","error_prone_parent-2.49.0.pom"
"com.google.protobuf","protobuf-bom","4.34.2","","pom","protobuf-bom-4.34.2.pom"
"com.jayway.jsonpath","json-path","2.10.0","","jar","json-path-2.10.0.jar"
"com.mysema.commons","mysema-commons-lang","0.2.4","","jar","mysema-commons-lang-0.2.4.jar"
"com.mysema.home","mysema-source","0.3.0","","pom","mysema-source-0.3.0.pom"
"com.oracle.database.jdbc","ojdbc11","23.26.2.0.0","","jar","ojdbc11-23.26.2.0.0.jar"
"com.querydsl","codegen-utils","5.1.0","","jar","codegen-utils-5.1.0.jar"
"com.querydsl","querydsl-apt","5.1.0","","pom","querydsl-apt-5.1.0.pom"
"com.querydsl","querydsl-apt","5.1.0","jakarta","jar","querydsl-apt-5.1.0-jakarta.jar"
"com.querydsl","querydsl-bom","5.1.0","","pom","querydsl-bom-5.1.0.pom"
"com.querydsl","querydsl-codegen","5.1.0","","jar","querydsl-codegen-5.1.0.jar"
"com.querydsl","querydsl-core","5.1.0","","jar","querydsl-core-5.1.0.jar"
"com.querydsl","querydsl-jpa","5.1.0","","pom","querydsl-jpa-5.1.0.pom"
"com.querydsl","querydsl-jpa","5.1.0","jakarta","jar","querydsl-jpa-5.1.0-jakarta.jar"
"com.querydsl","querydsl-parent","0.1.0","","pom","querydsl-parent-0.1.0.pom"
"com.querydsl","querydsl-root","5.1.0","","pom","querydsl-root-5.1.0.pom"
"com.samskivert","jmustache","1.16","","jar","jmustache-1.16.jar"
"com.sun.istack","istack-commons","4.1.2","","pom","istack-commons-4.1.2.pom"
"com.sun.istack","istack-commons-runtime","4.1.2","","jar","istack-commons-runtime-4.1.2.jar"
"com.vaadin.external.google","android-json","0.0.20131108.vaadin1","","jar","android-json-0.0.20131108.vaadin1.jar"
"com.zaxxer","HikariCP","7.0.2","","jar","HikariCP-7.0.2.jar"
"commons-codec","commons-codec","1.17.1","","jar","commons-codec-1.17.1.jar"
"commons-io","commons-io","2.16.1","","jar","commons-io-2.16.1.jar"
"commons-logging","commons-logging","1.3.5","","jar","commons-logging-1.3.5.jar"
"commons-logging","commons-logging","1.3.6","","jar","commons-logging-1.3.6.jar"
"io.github.classgraph","classgraph","4.8.146","","jar","classgraph-4.8.146.jar"
"io.grpc","grpc-bom","1.80.0","","pom","grpc-bom-1.80.0.pom"
"io.jsonwebtoken","jjwt-api","0.13.0","","jar","jjwt-api-0.13.0.jar"
"io.jsonwebtoken","jjwt-impl","0.13.0","","jar","jjwt-impl-0.13.0.jar"
"io.jsonwebtoken","jjwt-jackson","0.13.0","","jar","jjwt-jackson-0.13.0.jar"
"io.jsonwebtoken","jjwt-root","0.13.0","","pom","jjwt-root-0.13.0.pom"
"io.micrometer","micrometer-bom","1.16.4","","pom","micrometer-bom-1.16.4.pom"
"io.micrometer","micrometer-bom","1.17.0","","pom","micrometer-bom-1.17.0.pom"
"io.micrometer","micrometer-commons","1.17.0","","jar","micrometer-commons-1.17.0.jar"
"io.micrometer","micrometer-core","1.17.0","","jar","micrometer-core-1.17.0.jar"
"io.micrometer","micrometer-jakarta9","1.17.0","","jar","micrometer-jakarta9-1.17.0.jar"
"io.micrometer","micrometer-observation","1.17.0","","jar","micrometer-observation-1.17.0.jar"
"io.micrometer","micrometer-observation-test","1.17.0","","jar","micrometer-observation-test-1.17.0.jar"
"io.micrometer","micrometer-tracing-bom","1.7.0","","pom","micrometer-tracing-bom-1.7.0.pom"
"io.netty","netty-bom","4.2.12.Final","","pom","netty-bom-4.2.12.Final.pom"
"io.netty","netty-bom","4.2.15.Final","","pom","netty-bom-4.2.15.Final.pom"
"io.opentelemetry","opentelemetry-bom","1.49.0","","pom","opentelemetry-bom-1.49.0.pom"
"io.opentelemetry","opentelemetry-bom","1.55.0","","pom","opentelemetry-bom-1.55.0.pom"
"io.opentelemetry","opentelemetry-bom","1.62.0","","pom","opentelemetry-bom-1.62.0.pom"
"io.projectreactor","reactor-bom","2025.0.4","","pom","reactor-bom-2025.0.4.pom"
"io.projectreactor","reactor-bom","2025.0.6","","pom","reactor-bom-2025.0.6.pom"
"io.prometheus","client_java_parent","1.4.3","","pom","client_java_parent-1.4.3.pom"
"io.prometheus","client_java_parent","1.5.1","","pom","client_java_parent-1.5.1.pom"
"io.prometheus","parent","0.16.0","","pom","parent-0.16.0.pom"
"io.prometheus","prometheus-metrics-bom","1.4.3","","pom","prometheus-metrics-bom-1.4.3.pom"
"io.prometheus","prometheus-metrics-bom","1.5.1","","pom","prometheus-metrics-bom-1.5.1.pom"
"io.prometheus","simpleclient_bom","0.16.0","","pom","simpleclient_bom-0.16.0.pom"
"io.rsocket","rsocket-bom","1.1.5","","pom","rsocket-bom-1.1.5.pom"
"io.spring.dependency-management","io.spring.dependency-management.gradle.plugin","1.1.7","","pom","io.spring.dependency-management.gradle.plugin-1.1.7.pom"
"io.spring.gradle","dependency-management-plugin","1.1.7","","jar","dependency-management-plugin-1.1.7.jar"
"io.swagger.core.v3","swagger-annotations-jakarta","2.2.47","","jar","swagger-annotations-jakarta-2.2.47.jar"
"io.swagger.core.v3","swagger-core-jakarta","2.2.47","","jar","swagger-core-jakarta-2.2.47.jar"
"io.swagger.core.v3","swagger-models-jakarta","2.2.47","","jar","swagger-models-jakarta-2.2.47.jar"
