"groupId","artifactId","version","type","classifier"
"biz.aQute.bnd","biz.aQute.bnd.annotation","7.1.0","JAR",""
"com.google.errorprone","error_prone_annotations","2.38.0","JAR",""
"com.oracle.database.jdbc","ojdbc11","23.9.0.25.07","JAR",""
"com.querydsl","codegen-utils","5.1.0","JAR",""
"com.querydsl","querydsl-apt","5.1.0","JAR","jakarta"
"com.querydsl","querydsl-codegen","5.1.0","JAR",""
"com.querydsl","querydsl-core","5.1.0","JAR",""
"com.querydsl","querydsl-jpa","5.1.0","JAR","jakarta"
"com.querydsl","querydsl-root","5.1.0","POM",""
"io.github.classgraph","classgraph","4.8.146","JAR",""
"io.micrometer","micrometer-core","1.16.4","JAR",""
"io.micrometer","micrometer-jakarta9","1.16.4","JAR",""
"io.micrometer","micrometer-observation-test","1.16.4","JAR",""
"io.micrometer","micrometer-tracing-bom","1.6.4","POM",""
"io.spring.dependency-management","io.spring.dependency-management.gradle.plugin","1.1.7","POM",""
"net.bytebuddy","byte-buddy-agent","1.17.8","JAR",""
"org.apache.tomcat.embed","tomcat-embed-core","11.0.20","JAR",""
"org.apache.tomcat.embed","tomcat-embed-websocket","11.0.20","JAR",""
"org.asciidoctor","asciidoctor-gradle-base","4.0.5","JAR",""
"org.asciidoctor","asciidoctor-gradle-jvm","4.0.5","JAR",""
"org.asciidoctor","asciidoctorj-api","2.5.7","JAR",""
"org.asciidoctor.jvm.convert","org.asciidoctor.jvm.convert.gradle.plugin","4.0.5","POM",""
"org.aspectj","aspectjweaver","1.9.25.1","JAR",""
"org.eclipse.jdt","ecj","3.26.0","JAR",""
"org.hibernate.orm","hibernate-core","7.2.7.Final","JAR",""
"org.jacoco","org.jacoco.agent","0.8.13","JAR",""
"org.jacoco","org.jacoco.ant","0.8.13","JAR",""
"org.jacoco","org.jacoco.build","0.8.13","POM",""
"org.jacoco","org.jacoco.core","0.8.13","JAR",""
"org.jacoco","org.jacoco.report","0.8.13","JAR",""
"org.jetbrains.kotlin","kotlin-bom","1.7.20","POM",""
"org.jmolecules","jmolecules-bom","2025.0.0","POM",""
"org.junit","junit-bom","6.0.0","POM",""
"org.junit.platform","junit-platform-launcher","6.0.3","JAR",""
"org.osgi","org.osgi.annotation.bundle","2.0.0","JAR",""
"org.osgi","org.osgi.annotation.versioning","1.1.2","JAR",""
"org.osgi","org.osgi.resource","1.0.0","JAR",""
"org.osgi","org.osgi.service.serviceloader","1.0.0","JAR",""
"org.ow2.asm","asm","9.8","JAR",""
"org.ow2.asm","asm-bom","9.8","POM",""
"org.ow2.asm","asm-commons","9.8","JAR",""
"org.ow2.asm","asm-tree","9.8","JAR",""
"org.springframework","spring-aspects","7.0.6","JAR",""
"org.springframework","spring-jdbc","7.0.6","JAR",""
"org.springframework","spring-orm","7.0.6","JAR",""
"org.springframework","spring-test","7.0.6","JAR",""
"org.springframework","spring-tx","7.0.6","JAR",""
"org.springframework.boot","org.springframework.boot.gradle.plugin","4.0.5","POM",""
"org.springframework.boot","spring-boot","4.0.5","JAR",""
"org.springframework.boot","spring-boot-configuration-processor","4.0.5","JAR",""
"org.springframework.boot","spring-boot-data-commons","4.0.5","JAR",""
"org.springframework.boot","spring-boot-data-jpa","4.0.5","JAR",""
"org.springframework.boot","spring-boot-data-jpa-test","4.0.5","JAR",""
"org.springframework.boot","spring-boot-devtools","4.0.5","JAR",""
"org.springframework.boot","spring-boot-health","4.0.5","JAR",""
"org.springframework.boot","spring-boot-hibernate","4.0.5","JAR",""
"org.springframework.boot","spring-boot-jdbc","4.0.5","JAR",""
"org.springframework.boot","spring-boot-jdbc-test","4.0.5","JAR",""
"org.springframework.boot","spring-boot-jpa","4.0.5","JAR",""
"org.springframework.boot","spring-boot-jpa-test","4.0.5","JAR",""
"org.springframework.boot","spring-boot-micrometer-metrics","4.0.5","JAR",""
"org.springframework.boot","spring-boot-micrometer-metrics-test","4.0.5","JAR",""
"org.springframework.boot","spring-boot-micrometer-observation","4.0.5","JAR",""
"org.springframework.boot","spring-boot-persistence","4.0.5","JAR",""
"org.springframework.boot","spring-boot-restdocs","4.0.5","JAR",""
"org.springframework.boot","spring-boot-resttestclient","4.0.5","JAR",""
"org.springframework.boot","spring-boot-security","4.0.5","JAR",""
"org.springframework.boot","spring-boot-security-test","4.0.5","JAR",""
"org.springframework.boot","spring-boot-sql","4.0.5","JAR",""
"org.springframework.boot","spring-boot-starter-actuator","4.0.5","JAR",""
